"race","count","percentage","dataset"
"BLACK",1485034,0.358055041323669,"Complaints"
"WHITE",1091076,0.263068227574092,"Complaints"
"WHITE HISPANIC",995464,0.240015315242765,"Complaints"
"ASIAN/PAC.ISL",343152,0.08273703062711,"Complaints"
"BLACK HISPANIC",204773,0.0493726103085665,"Complaints"
"AMER IND",28003,0.0067517749237975,"Complaints"
