"race","count","percentage","dataset"
"BLACK",2630604,0.52077607514083,"Stop-and-Frisk"
"WHITE HISPANIC",1235514,0.244592546693287,"Stop-and-Frisk"
"WHITE",502916,0.0995614013380674,"Stop-and-Frisk"
"BLACK HISPANIC",311669,0.0617005670800574,"Stop-and-Frisk"
"OTHER",194241,0.0384535512039934,"Stop-and-Frisk"
"ASIAN/PAC.ISL",156380,0.0309582752214027,"Stop-and-Frisk"
"AMER IND",19991,0.00395758332236259,"Stop-and-Frisk"
