"race","count","percentage","dataset"
"BLACK",1158958,0.504073399922146,"Complaints"
"WHITE HISPANIC",527785,0.229553080765576,"Complaints"
"WHITE",348544,0.151594586777489,"Complaints"
"BLACK HISPANIC",158601,0.0689813999308451,"Complaints"
"ASIAN/PAC.ISL",95711,0.0416282291333668,"Complaints"
"AMER IND",9575,0.00416451916657424,"Complaints"
"OTHER",11,4.78430400337511e-06,"Complaints"
