"race","count","percentage","dataset"
"BLACK",886457,0.483782010840735,"Arrests"
"WHITE HISPANIC",472424,0.257824387070578,"Arrests"
"WHITE",225421,0.123023028376706,"Arrests"
"BLACK HISPANIC",158189,0.0863313082449404,"Arrests"
"ASIAN/PAC.ISL",85462,0.0466407036218011,"Arrests"
"AMER IND",4395,0.002398561845239,"Arrests"
