"Category","Count","Percentage_of_Stops"
"Weapon Found",58853,0.0115925934096757
"Contraband Found",94750,0.018663419461485
"Contraband or Weapon Found",146301,0.0288176984763559
"Arrest Made",310301,0.0611216646154961
"Summons Given",310145,0.0610909364525833
"Arrest Made or Summons Given",611287,0.12040850334937
