race,count,percentage,dataset
WHITE,2722904,0.333071523,2010 Census
HISPANIC / LATINO,2336076,0.285753883,2010 Census
BLACK,1861295,0.227677641,2010 Census
ASIAN/PAC.ISL,1030914,0.126103636,2010 Census
OTHER,206517,0.025261607,2010 Census
AMER IND,17427,0.002131708,2010 Census
