"race","count","percentage","dataset"
"BLACK",4924,0.722735945985616,"Shootings"
"WHITE HISPANIC",927,0.136063408190225,"Shootings"
"BLACK HISPANIC",691,0.101423748715691,"Shootings"
"WHITE",168,0.0246587406428886,"Shootings"
"ASIAN/PAC.ISL",101,0.0148246000293556,"Shootings"
"AMER IND",2,0.000293556436224864,"Shootings"
