"race","count","percentage","dataset"
"BLACK",2596,0.726560313462077,"Shootings"
"WHITE HISPANIC",549,0.153652392947103,"Shootings"
"BLACK HISPANIC",322,0.0901203470472992,"Shootings"
"WHITE",70,0.0195913797928911,"Shootings"
"ASIAN/PAC.ISL",35,0.00979568989644556,"Shootings"
"AMER IND",1,0.000279876854184159,"Shootings"
